Latitude,Longitude,Agebuilding,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
47.66476,-122.35248,88,1.0,2,45991,0,45991,Servicepublic,77.0,28.20000076,36.43
47.66246,-122.29898,60,1.0,2,39265,0,39265,Commerce,,135.6000061,47.12
47.66246,-122.29898,60,1.0,2,54284,0,54284,Commerce,18.0,126.0,63.61
47.66246,-122.29898,60,1.0,1,23409,0,23409,Commerce,67.0,112.0,28.41
47.66246,-122.29898,19,1.0,1,63153,0,63153,Commerce,,74.0,47.66
47.61362,-122.33959,89,1.0,4,32356,0,32356,Bureau,81.0,62.20000076,74.92
47.61524,-122.33519,38,1.0,5,43506,11250,32256,Bureau,51.0,110.5999985,99.15
47.67572,-122.3285,106,1.0,2,23931,0,23931,Servicepublic,88.0,0.0,18.66
47.67491,-122.33316,68,1.0,2,21393,0,21393,Servicepublic,57.0,45.90000153,32.64
47.57256,-122.29265,26,1.0,2,47560,0,47560,Industrie,80.0,25.89999962,33.23
47.61679,-122.33619,106,1.0,3,28800,0,28800,Education,,26.89999962,8.45
47.61718,-122.33654,59,1.0,2,21600,0,21600,Education,72.0,65.5,38.87
47.61687,-122.33533,21,1.0,3,22860,0,22860,Education,43.0,43.29999924,6.49
47.54362,-122.2667,51,1.0,2,21732,0,21732,Servicepublic,2.0,43.40000153,23.59
47.66835,-122.38886,71,1.0,1,21060,0,21060,Industrie,,15.60000038,6.69
47.66033,-122.31348,116,1.0,3,32960,0,32960,Commerce,71.0,24.70000076,5.67
47.65926,-122.31241,90,1.0,2,47992,0,47992,Servicepublic,17.0,73.30000305,118.37
47.68752,-122.29852,16,1.0,2,31386,0,31386,Servicepublic,52.0,0.0,27.14
47.64834,-122.33188,4,1.0,2,84116,26497,57619,Bureau,68.0,48.0,20.08
47.65742,-122.36736,9,1.0,2,38784,0,38784,Industrie,,56.29999924,26.11
47.57383,-122.33046,47,1.0,2,41790,0,41790,Loisirs,,54.59999847,33.37
47.60542,-122.3364,116,1.0,5,39960,0,39960,Bureau,77.0,59.79999924,49.98
47.60528,-122.33627,116,1.0,5,33300,0,33300,Industrie,,3.0,0.63
47.60781,-122.33186,94,1.0,3,39320,6960,32360,Loisirs,,83.09999847,145.48
47.60547,-122.33118,108,1.0,5,41536,0,41536,Loisirs,,65.90000153,19.07
47.56504,-122.38455,51,1.0,3,49744,0,49744,Education,98.0,48.70000076,89.29
47.56342,-122.38509,93,1.0,2,37816,0,37816,Servicepublic,60.0,41.09999847,43.45
47.5622,-122.38648,90,1.0,2,23315,0,23315,Bureau,,89.5,35.04
47.56263,-122.38196,68,1.0,1,41521,13124,28397,Loisirs,,123.6999969,100.21
47.56197,-122.38109,70,1.0,2,25762,0,25762,Commerce,100.0,74.0,13.29
47.72178,-122.29498,37,1.0,1,39350,0,39350,Commerce,,6.5,1.86
47.72606,-122.28747,3,1.0,1,32590,0,32590,Autres,,46.20000076,43.13
47.60132,-122.30477,26,1.0,2,39000,0,39000,Medical,25.0,68.09999847,33.92
47.58513,-122.30645,47,1.0,1,25920,0,25920,Industrie,,46.79999924,12.48
47.58528,-122.30595,63,1.0,1,25480,0,25480,Industrie,,29.10000038,5.17
47.58482,-122.30501,46,1.0,2,31000,0,31000,Industrie,,74.69999695,19.93
47.58528,-122.305,55,1.0,1,29740,0,29740,Bureau,57.0,51.09999847,19.82
47.58607,-122.30445,62,1.0,1,23236,0,23236,Industrie,,20.79999924,13.02
47.58579,-122.3034,7,1.0,3,38075,0,38075,Bureau,,53.5,19.04
47.5859,-122.29957,46,1.0,2,39170,0,39170,Bureau,81.0,63.40000153,63.06
47.56979,-122.29234,53,1.0,2,20047,0,20047,Bureau,,6.400000095,0.82
47.57403,-122.3336,102,1.0,1,20000,0,20000,Commerce,75.0,27.89999962,3.89
47.63629,-122.35922,68,1.0,1,27247,0,27247,Loisirs,,101.0,83.1
47.56447,-122.35335,63,1.0,1,31521,0,31521,Industrie,6.0,57.79999924,61.71
47.56982,-122.33479,65,1.0,1,24000,0,24000,Industrie,,62.90000153,46.64
47.56487,-122.34181,64,1.0,1,21900,0,21900,Industrie,,75.5,65.65
47.56897,-122.33617,55,1.0,1,38005,0,38005,Industrie,,21.10000038,10.75
47.5678,-122.33622,18,1.0,1,35579,0,35579,Industrie,72.0,35.40000153,39.05
47.57382,-122.32672,41,1.0,1,49950,0,49950,Industrie,77.0,4.800000191,1.67
47.63927,-122.4032,69,1.0,2,22612,0,22612,Servicepublic,87.0,37.79999924,31.6
47.72599,-122.29314,40,1.0,2,38787,0,38787,Commerce,,90.59999847,67.52
47.55302,-122.33605,78,1.0,1,30545,0,30545,Industrie,12.0,60.90000153,61.53
